"Enumeration Name","Entity Code","Entity Name","Deleted","Import-only","Comments","ADIF Version","ADIF Status"
"DXCC_Entity_Code","188","NIUE","","","","3.1.7","Released"
"DXCC_Entity_Code","189","NORFOLK I.","","","","3.1.7","Released"
"DXCC_Entity_Code","190","SAMOA","","","","3.1.7","Released"
"DXCC_Entity_Code","191","NORTH COOK IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","192","OGASAWARA","","","","3.1.7","Released"
"DXCC_Entity_Code","193","OKINAWA (RYUKYU IS.)","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","194","OKINO TORI-SHIMA","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","195","ANNOBON I.","","","","3.1.7","Released"
"DXCC_Entity_Code","196","PALESTINE","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","197","PALMYRA & JARVIS IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","198","PAPUA TERRITORY","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","199","PETER 1 I.","","","","3.1.7","Released"
"DXCC_Entity_Code","200","PORTUGUESE TIMOR","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","201","PRINCE EDWARD & MARION IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","202","PUERTO RICO","","","","3.1.7","Released"
"DXCC_Entity_Code","203","ANDORRA","","","","3.1.7","Released"
"DXCC_Entity_Code","204","REVILLAGIGEDO","","","","3.1.7","Released"
"DXCC_Entity_Code","205","ASCENSION I.","","","","3.1.7","Released"
"DXCC_Entity_Code","206","AUSTRIA","","","","3.1.7","Released"
"DXCC_Entity_Code","207","RODRIGUES I.","","","","3.1.7","Released"
"DXCC_Entity_Code","208","RUANDA-URUNDI","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","209","BELGIUM","","","","3.1.7","Released"
"DXCC_Entity_Code","210","SAAR","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","211","SABLE I.","","","","3.1.7","Released"
"DXCC_Entity_Code","212","BULGARIA","","","","3.1.7","Released"
"DXCC_Entity_Code","213","SAINT MARTIN","","","","3.1.7","Released"
"DXCC_Entity_Code","214","CORSICA","","","","3.1.7","Released"
"DXCC_Entity_Code","215","CYPRUS","","","","3.1.7","Released"
"DXCC_Entity_Code","216","SAN ANDRES & PROVIDENCIA","","","","3.1.7","Released"
"DXCC_Entity_Code","217","SAN FELIX & SAN AMBROSIO","","","","3.1.7","Released"
"DXCC_Entity_Code","218","CZECHOSLOVAKIA","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","219","SAO TOME & PRINCIPE","","","","3.1.7","Released"
"DXCC_Entity_Code","220","SARAWAK","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","221","DENMARK","","","","3.1.7","Released"
"DXCC_Entity_Code","222","FAROE IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","223","ENGLAND","","","","3.1.7","Released"
"DXCC_Entity_Code","224","FINLAND","","","","3.1.7","Released"
"DXCC_Entity_Code","225","SARDINIA","","","","3.1.7","Released"
"DXCC_Entity_Code","226","SAUDI ARABIA/IRAQ NEUTRAL ZONE","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","227","FRANCE","","","","3.1.7","Released"
"DXCC_Entity_Code","228","SERRANA BANK & RONCADOR CAY","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","229","GERMAN DEMOCRATIC REPUBLIC","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","230","FEDERAL REPUBLIC OF GERMANY","","","","3.1.7","Released"
"DXCC_Entity_Code","231","SIKKIM","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","232","SOMALIA","","","","3.1.7","Released"
"DXCC_Entity_Code","233","GIBRALTAR","","","","3.1.7","Released"
"DXCC_Entity_Code","234","SOUTH COOK IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","235","SOUTH GEORGIA I.","","","","3.1.7","Released"
"DXCC_Entity_Code","236","GREECE","","","","3.1.7","Released"
"DXCC_Entity_Code","237","GREENLAND","","","","3.1.7","Released"
"DXCC_Entity_Code","238","SOUTH ORKNEY IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","239","HUNGARY","","","","3.1.7","Released"
"DXCC_Entity_Code","240","SOUTH SANDWICH IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","241","SOUTH SHETLAND IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","242","ICELAND","","","","3.1.7","Released"
"DXCC_Entity_Code","243","PEOPLE'S DEMOCRATIC REP. OF YEMEN","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","244","SOUTHERN SUDAN","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","245","IRELAND","","","","3.1.7","Released"
"DXCC_Entity_Code","246","SOVEREIGN MILITARY ORDER OF MALTA","","","","3.1.7","Released"
"DXCC_Entity_Code","247","SPRATLY IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","248","ITALY","","","","3.1.7","Released"
"DXCC_Entity_Code","249","ST. KITTS & NEVIS","","","","3.1.7","Released"
"DXCC_Entity_Code","250","ST. HELENA","","","","3.1.7","Released"
"DXCC_Entity_Code","251","LIECHTENSTEIN","","","","3.1.7","Released"
"DXCC_Entity_Code","252","ST. PAUL I.","","","","3.1.7","Released"
"DXCC_Entity_Code","253","ST. PETER & ST. PAUL ROCKS","","","","3.1.7","Released"
"DXCC_Entity_Code","254","LUXEMBOURG","","","","3.1.7","Released"
"DXCC_Entity_Code","255","ST. MAARTEN, SABA, ST. EUSTATIUS","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","256","MADEIRA IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","257","MALTA","","","","3.1.7","Released"
"DXCC_Entity_Code","258","SUMATRA","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","259","SVALBARD","","","","3.1.7","Released"
"DXCC_Entity_Code","260","MONACO","","","","3.1.7","Released"
"DXCC_Entity_Code","261","SWAN IS.","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","262","TAJIKISTAN","","","","3.1.7","Released"
"DXCC_Entity_Code","263","NETHERLANDS","","","","3.1.7","Released"
"DXCC_Entity_Code","264","TANGIER","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","265","NORTHERN IRELAND","","","","3.1.7","Released"
"DXCC_Entity_Code","266","NORWAY","","","","3.1.7","Released"
"DXCC_Entity_Code","267","TERRITORY OF NEW GUINEA","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","268","TIBET","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","269","POLAND","","","","3.1.7","Released"
"DXCC_Entity_Code","270","TOKELAU IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","271","TRIESTE","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","272","PORTUGAL","","","","3.1.7","Released"
"DXCC_Entity_Code","273","TRINDADE & MARTIM VAZ IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","274","TRISTAN DA CUNHA & GOUGH I.","","","","3.1.7","Released"
"DXCC_Entity_Code","275","ROMANIA","","","","3.1.7","Released"
"DXCC_Entity_Code","276","TROMELIN I.","","","","3.1.7","Released"
"DXCC_Entity_Code","277","ST. PIERRE & MIQUELON","","","","3.1.7","Released"
"DXCC_Entity_Code","278","SAN MARINO","","","","3.1.7","Released"
"DXCC_Entity_Code","279","SCOTLAND","","","","3.1.7","Released"
"DXCC_Entity_Code","280","TURKMENISTAN","","","","3.1.7","Released"
"DXCC_Entity_Code","281","SPAIN","","","","3.1.7","Released"
"DXCC_Entity_Code","282","TUVALU","","","","3.1.7","Released"
"DXCC_Entity_Code","283","UK SOVEREIGN BASE AREAS ON CYPRUS","","","","3.1.7","Released"
"DXCC_Entity_Code","284","SWEDEN","","","","3.1.7","Released"
